"start","logRatio"
6210000,0.847777176698677
6240000,-0.401434200357323
6270000,-0.594034257052266
6300000,-1.22619889015902
6330000,-1.1184168531525
6360000,-0.590467962091991
6390000,0.538274544333666
6420000,0.505857925400742
6450000,-0.53525939689592
6480000,-0.500441502530178
6510000,0.142654675732417
6540000,0.59409947418486
6570000,1.35333120039828
6600000,1.58440865072911
6630000,3.11748663976431
6660000,2.02343384548733
6690000,1.51424133189144
6720000,-0.666761338203289
6750000,-0.0498076815291372
6780000,1.03706110109355
6810000,0.904050812180622
6840000,1.11051888460935
6870000,-0.203643826049283
6900000,-0.164532249936606
6930000,0.000137756654311497
6960000,0.378840066365421
6990000,-1.32698306358536
7020000,-3.03811393471278
7050000,-3.96207477987897
7080000,-3.02707665921817
7110000,-2.37026653272537
7140000,-2.81687019967788
7170000,-2.88484432077382
7200000,-4.68302813224371
7230000,-4.75084268044988
7260000,-4.24054389516158
7290000,-2.12611526258795
7320000,-1.51918864966694
7350000,-1.67376213219351
7380000,-1.41410311070079
7410000,-1.3307865767564
7440000,0.234520478047973
7470000,0.221843464453043
7500000,1.30508612689953
7530000,0.752090266346755
7560000,0.555060775276601
7590000,-1.14631788554428
7620000,-1.0837305300176
7650000,-1.00559087459388
7680000,0.573769930315913
7710000,0.747121839103123
7740000,1.47101504810902
7770000,0.928585023559781
7800000,0.18125536313112
7830000,-0.462308654345435
7860000,1.9229570204687
7890000,1.79132682118307
7920000,1.84979686751355
7950000,-0.630674248360941
7980000,0.352042096534933
8010000,0.518011047662238
8040000,0.842823806357014
8070000,0.45369822805091
8100000,-0.204601665627301
8130000,-0.810049471240717
8160000,-1.74019114101599
8190000,-3.09838809031075
8220000,-4.40706317839693
8250000,-4.26992053535031
8280000,-3.03805330471673
8310000,-1.59752635308835
8340000,-1.51346357501674
8370000,-1.96615855769382
8400000,-2.17455840269786
8430000,-2.33697463727036
8460000,-2.32400829064275
8490000,-2.47757816062572
8520000,-2.88870681794165
8550000,-3.05895341550358
8580000,-3.73846041111594
8610000,-3.32734265533972
8640000,-2.72144762791424
8670000,-1.69803089795437
8700000,-1.32370732576948
8730000,-3.27721122039719
8760000,-3.48641080907072
8790000,-3.85815645067353
8820000,-2.5707744968246
8850000,-0.755281262077884
8880000,-1.38560873167828
8910000,-0.291989154830368
8940000,-2.40077421536673
8970000,-2.41430333743884
9000000,-2.34898761345832
9030000,-2.48578946238423
9060000,-1.65034050467932
9090000,-1.44919181115288
9120000,-0.264365960781374
9150000,1.44736235024919
9180000,1.40367093213603
9210000,1.28603299543398
9240000,-0.00268306236061819
9270000,-0.0320464511015374
9300000,-0.0928206062012344
9330000,-0.28285527638938
9360000,-0.547603183842711
9390000,-0.66844907226943
9420000,-0.752390504391368
9450000,-0.770775881345112
9480000,-0.991577458835361
9510000,-0.484763220815052
9540000,-0.141770607271597
9570000,0.263934384883769
9600000,0.397674829058296
9630000,0.65307528603267
9660000,0.935684232933438
9690000,0.930293816173734
9720000,0.749643738343202
9750000,0.516226131158764
9780000,0.367668693125267
9810000,0.472204539613451
9840000,0.516805177820565
9870000,0.228167237612479
9900000,-0.174241453264753
9930000,-0.328970565557501
9960000,0.236872521089004
9990000,0.0923823864237125
10020000,-0.24227051710426
10050000,-0.771647585897771
10080000,-0.784733341017683
10110000,-0.73289822566468
10140000,-0.691905651140354
10170000,-0.375738559062107
10200000,0.0996670601358053
10230000,0.441893586983665
10260000,0.445638471523789
10290000,0.228358228316497
10320000,-0.28873886468372
10350000,-0.436785596929576
10380000,-0.525230076496522
10410000,-0.24153020959625
10440000,-0.278246134314513
10470000,-0.31752902411639
10500000,-0.387172333353307
10530000,-0.362802974191434
10560000,-0.229469302305425
10590000,-0.252479464787442
10620000,-0.337726129088581
10650000,-0.554840351322026
10680000,-0.78443370716637
10710000,-0.299298573528891
10740000,0.00122233134987332
10770000,0.548092651866875
10800000,0.618114939267853
10830000,0.910633863866384
10860000,0.776338257846084
10890000,0.810845266216637
10920000,0.522693271169598
10950000,0.27570452713921
10980000,-0.196305141369805
11010000,-0.896290077418255
11040000,-1.48702278857647
11070000,-1.82420838971318
11100000,-1.55728510700578
11130000,-0.633278219138494
11160000,-0.320253341401114
11190000,-0.0778958465791227
11220000,-0.21726548106864
11250000,-0.246020677825789
11280000,-0.0247293613604154
11310000,-0.466878609357825
11340000,-0.534825624179273
11370000,-0.616253914114988
11400000,1.55832222390305
11430000,1.68478884762473
11460000,1.60627192798882
11490000,-0.281402388826411
11520000,-0.269482985531303
11550000,-0.0776232074560712
11580000,0.140636296845634
11610000,0.326611295077716
11640000,0.280345428123829
11670000,-0.166133196882479
11700000,-0.381851847288881
11730000,-0.749401602562469
11760000,-0.684383102432653
11790000,-1.00223101708675
